team,games_played,wins,losses,win_percent,minutes,points,field_goals_made,field_goals_attempted,field_goals_percent,threes_made,threes_attempted,threes_percent,ft_made,ft_attempted,ft_percent,o_rebound,d_rebound,rebounds,assists,turnovers,steals,blocks,blocks_against,personal_fouls,year,image
Milwaukee Bucks,82,58,24,.707,3966,9589,3504,7411,47.3,1217,3306,36.8,1364,1837,74.3,914,3074,3988,2115,1199,521,403,323,1480,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Boston Celtics,82,57,25,.695,3996,9671,3460,7278,47.5,1315,3492,37.7,1436,1769,81.2,796,2921,3717,2186,1095,521,430,318,1542,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Philadelphia 76ers,82,54,28,.659,3976,9448,3347,6870,48.7,1035,2675,38.7,1719,2058,83.5,715,2641,3356,2063,1121,635,389,380,1675,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Denver Nuggets,82,53,29,.646,3951,9495,3574,7088,50.4,969,2559,37.9,1378,1834,75.1,828,2699,3527,2368,1192,618,368,344,1525,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Cleveland Cavaliers,82,51,31,.622,3976,9205,3408,6984,48.8,950,2589,36.7,1439,1844,78.0,795,2574,3369,2045,1094,586,384,360,1560,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Memphis Grizzlies,82,51,31,.622,3956,9587,3585,7551,47.5,985,2807,35.1,1432,1954,73.3,988,2835,3823,2135,1116,680,473,427,1643,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Sacramento Kings,82,48,34,.585,3966,9898,3573,7232,49.4,1128,3060,36.9,1624,2055,79.0,782,2699,3481,2237,1106,574,275,341,1616,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
New York Knicks,82,47,35,.573,3991,9514,3444,7328,47.0,1037,2930,35.4,1589,2087,76.1,1031,2790,3821,1880,1065,527,340,370,1666,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Brooklyn Nets,82,45,37,.549,3946,9295,3399,6978,48.7,1048,2771,37.8,1449,1811,80.0,674,2648,3322,2093,1127,585,506,317,1730,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Phoenix Suns,82,45,37,.549,3956,9319,3453,7388,46.7,1001,2674,37.4,1412,1781,79.3,971,2657,3628,2235,1110,585,432,327,1739,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Golden State Warriors,82,44,38,.537,3966,9753,3538,7393,47.9,1363,3540,38.5,1314,1655,79.4,864,2793,3657,2446,1336,588,324,326,1756,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
LA Clippers,82,44,38,.537,3966,9314,3370,7060,47.7,1041,2734,38.1,1533,1962,78.1,803,2742,3545,1959,1167,580,364,344,1598,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Miami Heat,82,44,38,.537,3961,8977,3215,6991,46.0,980,2852,34.4,1567,1885,83.1,796,2533,3329,1955,1106,655,243,309,1516,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Los Angeles Lakers,82,43,39,.524,3976,9608,3516,7298,48.2,885,2558,34.6,1691,2182,77.5,818,2930,3748,2072,1154,526,378,416,1466,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
Minnesota Timberwolves,82,42,40,.512,3966,9494,3515,7167,49.0,997,2731,36.5,1467,1942,75.5,749,2686,3435,2145,1258,657,444,336,1768,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
New Orleans Pelicans,82,42,40,.512,3971,9378,3447,7180,48.0,899,2468,36.4,1585,2000,79.3,866,2717,3583,2122,1196,681,337,386,1678,2022,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
